fid;Skolenhetsnamn;skolenhetskod;KnKod;x;y
1;Språkcentrum;77403120;2584;720248;7534724
2;Värmdö Skärgårdsskola;77630712;0120;710559;6580611
3;Solbackens Montessori;77701262;0117;686982;6598634
4;Svartbäcksskolan;94791997;0136;682354;6563319
5;HagaLyckebyskolan;81680693;0136;682235;6566072
6;Montessoriskolan Fredsduvan;19089469;0136;679785;6560420
7;Vendelsömalmsskolan;72266104;0136;681543;6564611
8;Båtsmansskolan;45914893;0136;680730;6564902
9;Höglundaskolan;44031601;0136;679554;6560155
10;Vikingaskolan;90537318;0136;679986;6562502
11;Runstensskolan;76400478;0136;679594;6563366
12;Åbyskolan;30270791;0136;677762;6558967
13;Ribbybergsskolan;80746043;0136;677346;6556905
14;Ribbyskolan;59497255;0136;677969;6557572
15;Brandbergsskolan;73184968;0136;681256;6563537
16;Tungelsta skola;38975788;0136;674355;6555842
17;Västerhaninge Montessoriskola;75527289;0136;677538;6557695
18;Rodrets friskola;19983531;0136;674417;6556230
19;Haninge Montessoriskola;86440798;0136;680168;6563382
20;Söderby skola;55233055;0136;680881;6563702
21;I Ur och Skur Mullebo;23886554;0136;683147;6566393
22;Måsöskolan;33624606;0136;678772;6565440
23;Västra Ekoskolan;54752734;0136;672648;6557089
24;Rudanskolan;17957898;0136;679255;6563017
25;Kvarnbäcksskolan;76440567;0136;679591;6560827
26;Funkis skola;14845171;0136;677538;6557695
27;Vendelsö Hage;65927702;0136;681495;6566377
28;Kumla skola;37147254;0138;682998;6569125
29;Njupkärrs skola;33455004;0138;683941;6570740
30;Bergfotens skola;58862351;0138;683643;6570897
31;Tyresö skola;83020784;0138;687848;6571528
32;Fårdala skola;41888515;0138;684853;6571570
33;Fornuddens skola;71078874;0138;682095;6569014
34;Sofiebergsskolan;39453214;0138;682892;6568369
35;Hanvikens skola;48312263;0138;683110;6570777
36;Tyresö Montessoriskola;22202915;0138;683641;6572020
37;Strandskolan;87665835;0138;687369;6571714
38;Stimmets skola;52531425;0138;684495;6571947
39;Dalskolan;56130729;0138;684926;6570655
40;Krusboda skola;84704913;0138;685606;6570131
41;Brevik skola;95747197;0138;690190;6570428
42;Nyboda skola;31281674;0138;684204;6571299
43;Ekhammarskolan;92284588;0139;655053;6596739
44;Lillsjöskolan;85759071;0139;654085;6597183
45;Broskolan;16983719;0139;649615;6600524
46;Hagnässkolan;16969143;0139;655757;6599099
47;Bergaskolan;56299553;0139;656076;6596903
48;Tjustaskolan;76550010;0139;648474;6609797
49;Råbyskolan;21781901;0139;649271;6600796
50;Finnstaskolan;61061763;0139;649821;6600500
51;Härneviskolan;24606968;0139;649011;6600240
52;Brunnaskolan;56315778;0139;655804;6599543
53;Kungsskolan;45536049;0139;654831;6597342
54;Urfjälls Montessoriskola;31608087;0139;653372;6596821
55;Björkestaskolan;68422076;0140;639122;6561817
56;Lillhagaskolan;99640618;0140;638522;6562261
57;Turingeskolan;93844270;0140;638199;6561872
58;Näsbydalskolan;22807677;0160;673953;6593058
59;Näsbyparksskolan;96330648;0160;675492;6592203
60;Norskolan;71638763;0160;675165;6592379
61;Slottsparksskolan;41554150;0160;675686;6591520
62;Viggbyskolan;53352683;0160;676011;6593874
63;Drakskeppsskolan;89751941;0160;676201;6593123
64;Skolhagenskolan;69088221;0160;673658;6598893
65;Midgårdsskolan;96403088;0160;673479;6598807
66;Skarpängsskolan;83454509;0160;671958;6593574
67;Brinkskolan;13665610;0160;672661;6595155
68;Ytterbyskolan;77370320;0160;673670;6592566
69;Ellagårdsskolan;44002887;0160;672626;6593357
70;Löttingelundsskolan;30911490;0160;675440;6596500
71;Myrängsskolan;52866214;0160;674467;6595891
72;Kyrkskolan;78918091;0160;672974;6598697
73;Byleskolan;69043808;0160;674242;6599695
74;Rösjöskolan;83623446;0160;671441;6593462
75;Vallatorpsskolan;57206066;0160;672338;6596150
76;Hägernäs Strandskolan;39474355;0160;677241;6593746
77;Täby Friskola-Enhagen;32231541;0160;672122;6592858
78;Täby Friskola-Lilla Gribbylund/Gribbylund;55267088;0160;675336;6595732
79;Täby Friskola-Småskolan/Ljungmyr;72769342;0160;671806;6593792
80;Täby Friskola-Hägernäs;65545391;0160;677110;6594146
81;Hindens Skola;22106773;0381;616391;6612963
82;Bergtallens skola;73178642;0381;628337;6610381
83;Robinson Fanna;89708433;0381;618887;6612706
84;Robinson Svedia;71071044;0381;615984;6613495
85;Frösåkersskolan;98029852;0382;685729;6685434
86;Olandsskolan F-9;90876801;0382;671706;6662899
87;Österbyskolan;57548666;0382;660339;6676773
88;Vallonskolan;31047050;0382;675700;6674634
89;Öregrunds skola;93413393;0382;689899;6693393
90;Gräsö skola;92009678;0382;691091;6695157
91;Edsskolan;37217528;0382;685623;6685443
92;Kristinelundskolan;18135815;0382;686021;6684497
93;Snesslinge skola;24936340;0382;681144;6689446
94;Ekeby skola;71534291;0382;679113;6665285
95;Hammarskolan;27232649;0382;676788;6674332
96;Vretaskolan;19663316;0382;675832;6674658
97;Högsjö skola;30505826;0428;538771;6543246
98;Sävstaskolan;18900112;0428;550289;6544182
99;Marmorbyns skola;24762802;0428;561066;6545948
100;Österåkersbygdens Friskola;37464454;0428;556559;6554058
101;Frejaskolan 6-9;71986467;0461;632900;6547386
102;Frejaskolan F-5;55964770;0461;632900;6547386
103;Kvarnbackaskolan F-5;19546209;0461;615316;6551309
104;Gnesta Waldorfskola;35159342;0461;633127;6547368
105;Dansutskolan F-5;76365900;0461;632598;6546678
106;Welandersborgs skola F-5;17508329;0461;622741;6550224
107;Långbergsskolan LM;26253454;0480;616821;6515340
108;Mikaeliskolan;75746018;0480;615924;6515081
109;Jönåkers skola;17279310;0480;600346;6512785
110;Stigtomta skola;79566399;0480;603360;6519126
111;Ålberga skola;32717317;0480;591309;6510695
112;Råby skola;15765666;0480;609152;6527224
113;Nävekvarns skola;73220104;0480;604195;6500588
114;Långsättersskolan;71916478;0480;616822;6511635
115;Stenkullaskolan;19908697;0480;618031;6515046
116;Östra skolan;87469558;0480;616913;6514637
117;Rosenkällaskolan;87883756;0480;618277;6514370
118;Bryngelstorpskolan;62817522;0480;619614;6514899
119;Bergshammars skola;96678702;0480;611007;6512814
120;Svalstaskolan;71947905;0480;608339;6512853
121;Brandkärrsskolan;75850558;0480;616641;6515912
122;Tystberga skola;68094768;0480;629647;6524954
123;Dammlötskolan;62179318;0480;619818;6528047
124;Sjösa skola;53953848;0480;620624;6517061
125;Släbroskolan;23286483;0480;614376;6516141
126;Västra skolan;81899882;0480;615935;6514313
127;Buskhyttans skola;54761139;0480;612396;6504064
128;Herrhagsskolan;36534349;0480;616835;6512176
129;Fokusskolan;18915192;0480;617925;6515252
130;Vittra Kungshagen;50698424;0480;617344;6513992
131;Nyköpings Friskola;20254025;0480;616595;6515120
132;Kunskapsskolan Nyköping;88046003;0480;616146;6513773
133;Båktorp skolan;17393295;0480;613419;6504452
134;Blomenbergska skolan;74105812;0480;633260;6531489
135;Vrena friskola;57861440;0480;598113;6525801
136;Breviksskolan åk 6-9;34893654;0481;621756;6506052
137;Ramdalsskolan;98215830;0481;620543;6505643
138;D-skolan;95213848;0481;622270;6505409
139;Säbyholms Montessoriskola;42908219;1282;364057;6197479
140;Kunskapsskolan Landskrona;60956248;1282;365008;6195300
141;Uranienborgs skola;16851764;1282;355982;6198222
142;Alléskolan;74833346;1282;364397;6194160
143;Tallskolan;71561651;1282;369281;6191787
144;Vannarödsskolan 6-9;93845278;1293;417432;6211521
145;Tyringe skola 7-9;98064311;1293;413317;6224400
146;T4-skolan F-9;76278008;1293;422347;6225076
147;Hästveda skola 4-9;50909158;1293;434248;6238264
148;Silviaskolan 1-9;65408331;1293;422371;6224467
149;Läredaskolan F-6;51624177;1293;423886;6225166
150;Ljungdalaskolan F-6;37198266;1293;425248;6225892
151;Stoby skola F-6;68970313;1293;427383;6226626
152;Västerskolan F-6;75318783;1293;422272;6224563
153;Grönängsskolan F-6;85679977;1293;422497;6223883
154;Bjärnums skola F-6;38064113;1293;419762;6239838
155;Vittsjö skola F-6;16939144;1293;417165;6244986
156;Söderparkskolan F-3;55815171;1293;432601;6217843
157;Furutorpskolan 4-6;55037934;1293;432034;6217129
158;Vanneberga skola F-6;28379252;1293;432027;6215822
159;Tormestorps skola F-5;87274697;1293;421877;6219274
160;Lejonskolan F-5;57945497;1293;417645;6211067
161;Tyringe skola F-6;28728987;1293;413317;6224400
162;Finja skola F-6;67308549;1293;418538;6225643
163;Röke skola F-6;24099280;1293;408387;6233563
164;Västra Torups skola F-3;83016261;1293;406899;6222975
165;Mala skola F-6;49702354;1293;419797;6233021
166;T4-skolan Montessori F-9;28804882;1293;422347;6225076
167;Hästveda skola F-3;52164622;1293;434248;6238264
168;Ballingslövs skola F-6;97094194;1293;429850;6230808
169;Farstorps skola F-6;16744637;1293;425033;6237407
170;Röinge skola F-6;69162574;1293;425609;6222840
171;Linnéskolan F-9;84432632;1293;424294;6224093
172;Thoren Framtid i Hässleholm;79864142;1293;420525;6223084
173;Torups skola;26544203;1315;382854;6314607
174;Örnaskolan 1;74764978;1315;392824;6319584
175;Elias Fries skola;55039327;1315;393099;6317642
176;Unnaryds skola;28921911;1315;410724;6313655
177;Landeryds skola;46143897;1315;395339;6327437
178;Kinnareds skola;32214820;1315;384756;6321888
179;Rydöbruks skola;50709257;1315;387155;6314868
180;Labora Grundskola;48694604;1315;398984;6323806
181;Örnaskolan 3;80477825;1315;392824;6319584
182;Vallåsskolan 1;19274764;1380;371930;6283486
183;Brunnsåkersskolan 1;71629462;1380;367924;6283015
184;Östergårdsskolan 1;74243509;1380;370487;6282614
185;Getingeskolan 1;99829869;1380;361982;6299738
186;Kvibilleskolan 1;21578641;1380;367540;6295552
187;Sofiebergsskolan 1;42990016;1380;369123;6285970
188;Stenstorpsskolan 1;52347444;1380;369169;6286507
189;Söndrumskolan 1;18751410;1380;365028;6282575
190;Österledskolan 1;92337813;1380;376680;6297080
191;Eketånga Montessoriskola;28459364;1380;363967;6280995
192;Fyllingeskolan 1;65388353;1380;372652;6280275
193;Eldsbergaskolan 1;61728212;1380;376876;6273992
194;Snöstorpsskolan 1;36214465;1380;372382;6282959
195;Haverdals byskola 1;25323576;1380;357381;6289648
196;Steningeskolan 1;35619413;1380;358088;6295502
197;Lyngåkraskolan 1;35195991;1380;361215;6291117
198;Valhallaskolan 1;16275809;1380;375565;6297098
199;Furulundsskolan 1;84189577;1380;369881;6283503
200;Andersbergsskolan 1;70167853;1380;371381;6281617
201;Nyhemsskolan 1;99784968;1380;369845;6282542
202;Jutarumsskolan 1;18685784;1380;365535;6281485
203;Slottsjordsskolan 1;92874341;1380;368147;6282775
204;Hembergsskolan 7-9;59758107;2462;579424;7168146
205;Volgsjö skola 4-6;59819624;2462;579125;7167970
206;Fredsdalsskolan;59936176;1291;457876;6157157
207;Höglandskolan F-3;59951587;2284;687437;7025776
208;Lindbackens skola;59963808;0380;650376;6639729
209;Röselidsskolan skolenhet A;60035054;1441;339865;6413426
210;Flottiljens Skola;60164702;0160;677575;6593645
211;Nyvångskolan F-3;60797946;1281;396249;6170463
212;Internationella Engelska Skolan Tyresö;60904587;0138;683611;6572066
213;Irstaskolan;61002601;1980;595993;6608361
214;Da Vinciskolan;61084420;1440;325082;6420550
215;Rubinen;61330534;0581;571199;6491472
216;Brunnsåkersskolan 3;61539121;1380;367924;6283015
217;Västangårds skola F-5;61648125;2480;753624;7089280
218;Ydreskolan 2;61662490;0512;516704;6409277
219;Ekeby skola åk 4-9;61795800;1260;373517;6207597
220;Sammilsdalskolan F-9;61834375;2029;499494;6733130
221;Futurum;61956762;0305;641294;6604825
222;Ydreskolan 1;61969375;0512;516704;6409277
223;JENSEN grundskola Malmö 2;61994062;1280;375888;6162990
224;Järvenskolan 7-9;62046180;1784;363867;6633002
225;Grytans skola;62095716;2380;491549;6998196
226;Boukefs Småskola;62126085;1280;379248;6161191
227;Herrgårdsskolan F-6;62479729;1480;317129;6400333
228;JENSEN grundskola Göteborg;62764006;1480;319200;6398933
229;Boukefs Privatskola;62868982;1280;374452;6159527
230;Källskolan Brunna;63111806;0139;655642;6599357
231;Järvenskolan F-6;63265335;1784;363867;6633002
232;Svaleboskolan 4-6;63278471;1281;404661;6166511
233;Årbyskolan F-9;63315515;0484;586743;6583615
234;Spängerskolan L;63640460;1290;455700;6225458
235;Spängerskolan MH;63749463;1290;455700;6225458
236;Tomtebogårds skola 1;64420232;2480;762913;7086918
237;Fågelskolan F-3;64778399;1281;384492;6175292
238;Fågelskolan 4-9;64936034;1281;384492;6175292
239;Pusselbitens skola;64971454;1281;396717;6170093
240;Alirskolan 7-9;65024773;2183;574047;6802554
241;Skiftingehus F-9;65025285;0484;587520;6584415
242;Asperö skola;19582003;1480;308994;6394096
243;Styrsöskolan;81179515;1480;308242;6390120
244;Brännö skola;76375477;1480;307797;6393232
245;Hovåsskolan 7-9;32603156;1480;317294;6390472
246;Nygårdsskolan 4-9;65651613;1480;317457;6387354
247;Rannebergsskolan F-3;27925266;1480;325780;6410581
248;Lindåsskolan 4-9;61845870;1480;317272;6384464
249;Kristinaskolan;46512685;1480;325934;6410608
250;Bro skola;21004427;1484;294411;6481376
251;Stångenässkolan;71907938;1484;294293;6476343
252;Gullmarsskolan F-6;38925677;1484;291121;6465161
253;Gullmarsskolan 7-9;12247315;1484;291188;6465233
254;Mariedalsskolan;15905789;1484;292337;6465544
255;Skaftö skola;71589053;1484;289886;6458006
256;Bergs skola;33574346;1484;294387;6470553
257;Ramnerödsskolan;83416307;1485;320317;6473326
258;Västerskolan 4-7;62222568;1485;319941;6472482
259;Äsperödsskolan F-6;95427242;1485;322488;6470999
260;Ljungskileskolan;19052589;1485;319373;6457498
261;Herrestadsskolan;93612759;1485;314869;6472266
262;Dalabergsskolan;55030337;1485;320849;6474259
263;Norrskolan;94910948;1485;320925;6473009
264;Sandersdalskolan;35359339;1485;319026;6473474
265;Unnerödsskolan;16834913;1485;319738;6473096
266;Lane Ryrs skola;43476389;1485;328080;6476594
267;Forshällaskolan;19612340;1485;318816;6465831
268;Hogstorp skola;31201216;1485;310181;6477805
269;Bokenäs skola;20245835;1485;305278;6475885
270;Hovhultsskolan;25121914;1485;320304;6474401
271;Hällebergsskolan;52464734;1485;319485;6457125
272;Norgårdenskolan 7-9;10405686;1485;314955;6472053
273;Stenbackeskolan;77005811;1485;321372;6472319
274;Linnéaskolan;92086024;1485;319694;6457957
275;Vassbo skola;29585776;1485;323252;6465245
276;"Fridaskolan, Uddevalla";27489448;1485;321781;6471531
277;Norgårdenskolan F-6;37667577;1485;314955;6472053
278;Sommarhemsskolan F-6;68954250;1485;319688;6470647
279;Sommarhemsskolan 7-9;45535775;1485;319688;6470647
280;Odelsbergsskolan F-6;30355941;1486;280536;6539405
281;Strömstiernaskolan;47464666;1486;280187;6539337
282;Skee skola F-6;57063673;1486;285105;6537912
283;Mellegårdens skola F-6;78828269;1486;289817;6548376
284;Valemyrskolan F-6;32311635;1486;280059;6540081
285;Bojarskolan F-6;93814108;1486;280304;6541127
286;Tjärnö skola F-6;14814740;1486;278595;6532366
287;Rossö skola F-6;11065005;1486;280042;6529267
288;Kosters skola F-3;80203669;1486;271333;6534081
289;Norra skolan;47592451;1487;343510;6474701
290;Tärnan F-6;30827164;1487;344265;6472928
291;Brålanda skola;77566635;1487;346084;6494477
292;Skerrud skola;29200634;1487;350351;6490203
293;Rånnums skola;98308391;1487;347341;6471380
294;Munksundsskolan;70152961;0381;616391;6612963
295;Hummelstaskolan;89762772;0381;609786;6611161
296;Rombergaskolan;15287785;0381;616952;6614191
297;Skolstaskolan;30265734;0381;626504;6615700
298;Örsundsbroskolan;98587494;0381;629652;6624039
299;Lillkyrkaskolan;22410547;0381;627088;6604412
300;Robinson Husberg;72849973;0381;618957;6611920
301;Kunskapsskolan Enköping;67723630;0381;617587;6613796
302;Bankekinds skola;78579312;0580;548192;6470817
303;Skäggetorpskolan;46577157;0580;533808;6476415
304;Tallboda skola;84798856;0580;539742;6476661
305;Tanneforsskolan;78438609;0580;537761;6473807
306;Hjulsbroskolan;56122739;0580;541778;6470858
307;Blästadsskolan;30147517;0580;539650;6470750
308;Fredriksbergsskolan;69259821;0580;539412;6471537
309;Brokinds skola;72710465;0580;539024;6451856
310;Sätra skola;21336110;0580;544052;6454603
311;Vist skola;85043074;0580;542598;6465739
312;Vidingsjöskolan;82087469;0580;537899;6471198
313;Änggårdsskolan;35599739;0580;533406;6471122
314;Nykils skola;24526873;0580;526365;6460687
315;Slaka skola;47854168;0580;532598;6470042
316;Skeda skola;36426004;0580;532598;6470042
317;Himnaskolan;88643893;0580;545665;6476655
318;Nygårdsskolan;62444453;0580;534183;6476177
319;Rosendalsskolan;37626171;0580;533562;6476921
320;Björkö friskola;78992223;0580;530690;6485614
321;Lillgårdsskolan;29350859;0580;538083;6471733
322;Nya Munken;76521863;0580;538694;6473056
323;Dar Al Uloum skola;80769468;0580;533948;6476546
324;Daggkåpeskolan;25265720;0580;537612;6472240
325;Stångåskolan;25519969;0580;536603;6475970
326;Slussenskolan;77844194;0580;537808;6473711
327;Järdalaskolan;94242496;0580;539411;6471612
328;Kärnpunkten;24121348;0580;529676;6476012
329;Tinnerbäcksskolan;24877681;0580;536355;6474786
330;Montessoriskolan Trilobiten;75288258;0580;539472;6472090
331;Vittra Lambohov;26255239;0580;533027;6471848
332;Pandionskolan;16928929;0580;538690;6471639
333;Engelska Skolan i Linköping;82086591;0580;535578;6474725
334;Björnkärrskolan;63906328;0580;532864;6475111
335;Vreta Klosters skola;61381787;0580;530305;6482666
336;Brunnbyskolan;84834006;0580;529550;6484072
337;Ulrika skola;16096482;0580;525287;6442435
338;Vikingstads skola;84248539;0580;525530;6471169
339;Atlasskolan F-6;84408578;0580;535798;6472966
340;Kvinnebyskolan;66616050;0580;540613;6471340
341;Linghemsskolan;93274980;0580;545868;6477245
342;Ekdungeskolan;76655674;0580;540425;6477043
343;Ekängsskolan;10671588;0580;537499;6481175
344;Småskolan;33615827;0580;529133;6485497
345;Klara Privata skola Linköping;31658010;0580;536390;6474898
346;Kunskapsskolan Linköping;67505597;0580;536552;6472519
347;Ektorpsringen;63614168;0581;568039;6494305
348;Enebyskolan 2;35609364;0581;566661;6496857
349;Klingsborgsskolan;24979620;0581;569949;6493029
350;Matteusskolan 1;57677600;0581;567954;6495451
351;Borgsmoskolan;26387738;0581;566383;6493212
352;Djäkneparksskolan 1;59526276;0581;569252;6493588
353;"Rudolf Steinerskolan, gr";33530590;0581;568751;6496760
354;Mosstorpsskolan 1;41484780;0581;552808;6493953
355;Hultdalsskolan;40393888;0581;568075;6503034
356;Råsslaskolan 2;61717116;0581;579898;6503542
357;Vikbolandsskolan 2;34784374;0581;590889;6494197
358;Kättinge skola;81104648;0581;601417;6489469
359;Navestadsskolan 1;81182971;0581;571117;6491321
360;Vilbergsskolan;72299802;0581;568090;6492744
361;Mottagningsskolan;31503822;0581;573319;6496790
362;Skarphagsskolan 1;56043103;0581;567316;6493348
363;Ektorpsskolan 2;37133485;0581;568141;6493679
364;Enebypark 1;43215755;0581;566724;6496766
365;Karlshovsskolan;23461399;0581;566949;6496473
366;Kinnarpsskolan;15357005;1499;412360;6438420
367;Åsarpsskolan;72615710;1499;415775;6432043
368;Mössebergsskolan;74695983;1499;414252;6449270
369;Gudhemsskolan;48695990;1499;415608;6455271
370;Torbjörntorpsskolan;31175991;1499;417762;6453247
371;Broddetorpsskolan;69493590;1499;418283;6463355
372;Vartoftaskolan;93035626;1499;419198;6440473
