fid;id;gsid;year;skolenhetskod;skolkod;skolid;skolnamn;lag;mellan;hog;ant_1_3;ant_4_6;ant_7_9;geom_year;x;y
1;1;3516;2020;10017830;;;Nytorpsskolan;L;;;142;1;0;2020;569458;6620293
2;2;3497;2020;10023937;;;Mimerskolan;;M;H;0;181;178;2020;619687;6921110
3;3;1096;2020;10035236;;;Söderbymalmsskolan;;;H;0;0;434;2020;680015;6562946
4;4;1263;2020;10063280;;;Skapaskolan;L;M;H;133;126;105;2020;667241;6571022
5;5;2003;2020;10100155;;;Lilleskogs skola;L;M;;82;84;0;2020;388708;6443515
6;6;984;2020;10110104;;;Sjumilaskolan F-3;L;;;160;0;0;2020;314893;6402376
7;7;301;2020;10132939;;;Malmen Montessori;L;M;H;181;171;111;2020;375812;6399283
8;8;3755;2020;10155751;;;Ängarydsskolan;;;H;0;0;322;2020;498117;6432475
9;9;3774;2020;10161117;;;Björndalsskolan F-3;L;;;73;0;0;2020;340906;6465791
10;10;3504;2020;10170655;;;Vibackeskolan;L;M;H;107;117;384;2020;624942;6924276
11;11;1127;2020;10179930;;;Helgums skola;L;M;;37;32;0;2020;596606;7003435
12;12;1238;2020;10185533;;;Hortlax skola;;;H;0;0;309;2020;798461;7255460
13;13;1266;2020;10225038;;;Solfagraskolan;L;M;;174;265;0;2020;671652;6570674
14;14;3408;2020;10230535;;;Vällingby Park;L;M;;108;47;0;2020;663988;6583120
15;15;594;2020;10237615;;;Fajansskolan;L;M;;94;45;0;2020;348447;6309800
16;16;300;2020;10257640;;;Kunskapsskolan Borås;;M;H;0;230;332;2020;375829;6398542
17;17;4121;2020;10299294;;;Olympiaskolan;L;M;H;0;3;2;2020;673532;6604389
18;18;443;2020;10302576;;;Bruksskolan;L;M;;83;83;0;2020;468248;6566007
19;19;3992;2020;10310119;;;Umeå Montessoriskola;L;M;;34;23;0;2020;753522;7089269
20;20;3364;2020;10311303;;;Lilla Kulturama;;M;;0;229;0;2020;676519;6579014
21;21;3731;2020;10324603;;;Skutehagen F-3;L;;;160;0;0;2020;307085;6400713
22;22;4320;2020;10360193;;;Profilskolan;L;M;H;0;15;78;2020;662301;6584889
23;23;1868;2020;10402832;;;Kvidinge skola;L;M;;87;89;0;2020;378878;6222993
24;24;3924;2020;10405686;;;Norgårdenskolan 7-9;;;H;0;0;450;2020;315138;6471974
25;25;224;2020;10411502;;;Unbyns skola;L;M;;25;18;0;2020;809961;7304328
26;26;2696;2020;10421130;;;Norsjöskolan F-9;L;M;H;107;142;133;2020;711891;7205989
27;27;1664;2020;10428442;;;Lyckeskolan;;;H;0;0;255;2020;361670;6376058
28;28;1920;2020;10428911;;;Lammhults skola 4-9;;M;H;0;122;134;2020;475167;6336122
29;29;1802;2020;10440237;;;Kulltorpsskolan;L;M;;27;29;0;2020;426788;6347123
30;30;552;2020;10443922;;;Entréskolan. Eskilstuna;;M;H;0;65;161;2020;585445;6582366
31;31;3119;2020;10453232;;;Persboskolan;;;H;0;82;144;2020;580523;6621001
32;32;1528;2020;10466501;;;Torpaskolan;L;M;;197;190;0;2020;449450;6403639
33;33;4377;2020;10475419;;;Backaskolan;L;M;;155;151;0;2020;425274;6144397
34;34;3821;2020;10495223;;;Tullingebergsskolan;L;M;;120;49;0;2020;665918;6567334
35;35;3843;2020;10509907;;;Tygelsjöskolan;L;;;259;0;0;2020;373775;6154186
36;36;2889;2020;10524420;;;Rimforsa skola F-3;L;;;146;0;0;2020;540662;6444112
37;37;2713;2020;10555003;;;Nye skola;L;M;;49;43;0;2020;516434;6355948
38;38;2407;2020;10583321;;;Marieskolan;L;M;;85;101;0;2020;385258;6192239
39;39;2441;2020;10609045;;;Lagmansskolan Beta MH;;;H;0;0;311;2020;507829;6464335
40;40;1538;2020;10617819;;;Manhemsskolan;;;H;0;0;449;2020;871733;7327688
41;41;190;2020;10638673;;;Västanåskolan;L;M;;17;19;0;2020;669184;7016975
42;42;4708;2020;10654481;;;Björklundaskolan;L;;;95;0;0;2020;797632;7261762
43;43;3826;2020;10657244;;;Skogsbacksskolan;L;;;134;0;0;2020;662351;6564732
44;44;1497;2020;10661388;;;Örjanskolan grund;L;M;H;57;61;66;2020;650462;6550028
45;45;1587;2020;10662754;;;Galären Rosenholm;L;M;H;32;55;278;2020;537291;6230282
46;46;3661;2020;10663043;;;Tanumskolan F-6;L;M;;130;109;0;2020;287136;6514848
47;47;2063;2020;10671588;;;Ekängsskolan;L;M;;238;218;0;2020;537499;6481176
48;48;3369;2020;10682125;;;Magitaskolan;L;M;;22;19;0;2020;671261;6579132
49;49;2843;2020;10695761;;;Lillegårdsskolan F-5;L;M;;172;105;0;2020;328175;6403894
50;50;4557;2020;10715898;;;Akers Friskola;L;M;H;79;77;73;2020;688664;6599561
51;51;3412;2020;10735290;;;Långängsskolan;L;;;167;0;0;2020;674208;6586820
52;52;4786;2020;10757780;;;Solängskolan;L;M;H;18;32;39;2020;395674;6239169
53;53;4793;2020;10788890;;;Ängetskolan F-3;L;;;144;0;0;2020;684880;7025801
54;54;1708;2020;10822811;;;Snyggatorpsskolan 1;L;M;H;77;86;391;2020;384408;6222747
55;55;1798;2020;10902849;;;KMS Kullaviks Montessoriskola;L;M;H;71;79;83;2020;317843;6383345
56;56;2756;2020;10917843;;;Handskerydsskolan;L;M;;142;155;0;2020;482771;6388685
57;57;718;2020;10927868;;;Frillesåsskolan 4-9;;M;H;0;176;153;2020;330346;6356464
58;58;1230;2020;10954341;;;Storsjöskolan 2;;;H;0;0;228;2020;765348;7075033
59;59;3178;2020;10979668;;;Solklintsskolan;L;M;H;45;47;113;2020;726202;6402352
60;60;4326;2020;10982633;;;Fridaskolan. Vänersborg;L;M;H;96;139;225;2020;344030;6473570
61;61;1129;2020;10982752;;;Centrumskolan i Hbg;L;M;;36;29;0;2020;357340;6214849
62;62;2912;2020;10998117;;;Råbergsskolan;L;M;;96;130;0;2020;663233;6608210
63;63;3378;2020;11018018;;;Pops Academy;;M;H;0;170;159;2020;675369;6582306
64;64;3290;2020;11025388;;;Stenhamraskolan;L;M;;176;213;0;2020;652916;6580492
65;65;225;2020;11043800;;;Bohusskolan;L;M;H;119;122;234;2020;323042;6415721
66;66;380;2020;11061967;;;Buaskolan F-6 och fritidshem;L;M;;84;133;0;2020;326590;6347486
67;67;2191;2020;11064551;;;Furuparksskolan 0-3;L;;;119;0;0;2020;831469;7292624
68;68;3451;2020;11065005;;;Rossö skola F-6;L;M;;18;20;0;2020;280043;6529268
69;69;992;2020;11099088;;;Taubeskolan;L;M;;158;140;0;2020;315370;6399426
70;70;1750;2020;11159060;;;Gudmundråskolan;;;H;0;0;311;2020;641397;6980786
71;71;3467;2020;11181258;;;Stöde skola;L;M;H;86;87;107;2020;581112;6920585
72;72;2527;2020;11203004;;;Krokslättsskolan;L;M;;140;88;0;2020;321128;6396166
73;73;1525;2020;11247661;;;Strömsbergsskolan;L;;;81;0;0;2020;450995;6401796
74;74;2888;2020;11270670;;;Rimforsa skola 4-6;;M;;0;134;0;2020;540662;6444112
75;75;547;2020;11280060;;;Björktorpsskolan 4-6;;M;;0;197;0;2020;585320;6581787
76;76;911;2020;11295861;;;Brandströmska skolan Nylöse;L;M;H;117;103;112;2020;322166;6403023
77;77;4251;2020;11320436;;;Hidinge skola;L;M;;141;104;0;2020;494081;6566229
78;78;1436;2020;11364996;;;Lemshaga Akademi;L;M;H;114;146;155;2020;693828;6578239
